time	V(out)
Step Information: C6_value=10f  (Step: 1/200)
0.000000000000000e+00	-1.038822e+00
2.929687403590252e-14	-1.038823e+00
5.859374807180504e-14	-1.038823e+00
1.171874961436101e-13	-1.038823e+00
2.343749922872201e-13	-1.038822e+00
4.687499845744403e-13	-1.038822e+00
9.374999691488806e-13	-1.038822e+00
1.874999938297761e-12	-1.038822e+00
3.749999876595522e-12	-1.038822e+00
7.499999753191045e-12	-1.038822e+00
1.499999950638209e-11	-1.038822e+00
2.999999901276418e-11	-1.038822e+00
5.999999802552836e-11	-1.038822e+00
1.199999960510567e-10	-1.038822e+00
2.399999921021134e-10	-1.038822e+00
4.799999842042268e-10	-1.038822e+00
5.200000157957732e-10	-1.038822e+00
6.000000789788659e-10	-1.038822e+00
7.600002053450514e-10	-1.038822e+00
1.000000000000000e-09	-1.038822e+00
1.023999979465495e-09	-1.038822e+00
1.071999938396485e-09	-1.038822e+00
1.167999856258464e-09	-1.038822e+00
1.359999691982423e-09	-1.038822e+00
1.743999363430341e-09	-1.038822e+00
2.491564764236631e-09	-1.038822e+00
3.744252746147904e-09	-1.038822e+00
5.844175761095253e-09	-1.038822e+00
7.963928444639677e-09	-1.038822e+00
1.048320116122121e-08	-1.038822e+00
1.299585787543965e-08	-1.038822e+00
1.592554537543965e-08	-1.038822e+00
1.885523287543965e-08	-1.038822e+00
2.178492037543965e-08	-1.038822e+00
2.471460787543964e-08	-1.038822e+00
2.698665690947926e-08	-1.038822e+00
2.875393517719001e-08	-1.038822e+00
3.055290685875177e-08	-1.038822e+00
3.252807479419130e-08	-1.038822e+00
3.472009930473349e-08	-1.038822e+00
3.718698813722404e-08	-1.038822e+00
3.996430110754977e-08	-1.038822e+00
4.289398860754977e-08	-1.038821e+00
4.582367610754977e-08	-1.038820e+00
4.875336360754977e-08	-1.038819e+00
5.168305110754977e-08	-1.038816e+00
5.461273860754976e-08	-1.038813e+00
5.754242610754976e-08	-1.038808e+00
6.047211360754976e-08	-1.038801e+00
6.633148860754977e-08	-1.038781e+00
7.219086360754978e-08	-1.038750e+00
7.512055110754979e-08	-1.038730e+00
7.805023860754979e-08	-1.038705e+00
8.097992610754980e-08	-1.038675e+00
8.390961360754980e-08	-1.038641e+00
8.683930110754981e-08	-1.038601e+00
8.976898860754981e-08	-1.038556e+00
9.269867610754982e-08	-1.038504e+00
9.562836360754982e-08	-1.038446e+00
9.855805110754983e-08	-1.038380e+00
1.014877386075498e-07	-1.038308e+00
1.044174261075498e-07	-1.038227e+00
1.073471136075498e-07	-1.038138e+00
1.102768011075498e-07	-1.038041e+00
1.132064886075499e-07	-1.037934e+00
1.161361761075499e-07	-1.037819e+00
1.190658636075499e-07	-1.037694e+00
1.249252386075498e-07	-1.037414e+00
1.307846136075498e-07	-1.037092e+00
1.366439886075498e-07	-1.036729e+00
1.395736761075498e-07	-1.036530e+00
1.425033636075498e-07	-1.036320e+00
1.454330511075498e-07	-1.036099e+00
1.483627386075498e-07	-1.035867e+00
1.512924261075498e-07	-1.035623e+00
1.542221136075498e-07	-1.035368e+00
1.571518011075498e-07	-1.035101e+00
1.630111761075497e-07	-1.034533e+00
1.688705511075497e-07	-1.033920e+00
1.747299261075497e-07	-1.033261e+00
1.835189886075497e-07	-1.032191e+00
1.923080511075497e-07	-1.031026e+00
2.010971136075496e-07	-1.029771e+00
2.128158636075496e-07	-1.027972e+00
2.274643011075496e-07	-1.025545e+00
2.421127386075495e-07	-1.022959e+00
2.538314886075496e-07	-1.020805e+00
2.655502386075497e-07	-1.018601e+00
2.743393011075497e-07	-1.016929e+00
2.831283636075498e-07	-1.015251e+00
2.919174261075499e-07	-1.013576e+00
2.977768011075499e-07	-1.012466e+00
3.007064886075499e-07	-1.011913e+00
3.065658636075499e-07	-1.010815e+00
3.124252386075500e-07	-1.009728e+00
3.212143011075500e-07	-1.008123e+00
3.300033636075501e-07	-1.006555e+00
3.417221136075502e-07	-1.004531e+00
3.563705511075503e-07	-1.002125e+00
3.710189886075503e-07	-9.998750e-01
3.885971136075505e-07	-9.973977e-01
4.091049261075506e-07	-9.948303e-01
4.296127386075507e-07	-9.926140e-01
4.501205511075508e-07	-9.907386e-01
4.706283636075510e-07	-9.891835e-01
4.911361761075508e-07	-9.879210e-01
5.116439886075506e-07	-9.869209e-01
5.321518011075503e-07	-9.861531e-01
5.526596136075501e-07	-9.855911e-01
5.731674261075499e-07	-9.852135e-01
5.966049261075496e-07	-9.849896e-01
6.229721136075493e-07	-9.849926e-01
6.493393011075490e-07	-9.852720e-01
6.757064886075486e-07	-9.858536e-01
7.050033636075483e-07	-9.869026e-01
7.343002386075480e-07	-9.884412e-01
7.548080511075477e-07	-9.898474e-01
7.694564886075475e-07	-9.910326e-01
7.841049261075474e-07	-9.923766e-01
7.987533636075472e-07	-9.938856e-01
8.163314886075470e-07	-9.959205e-01
8.339096136075468e-07	-9.982044e-01
8.514877386075466e-07	-1.000738e+00
8.719955511075463e-07	-1.004007e+00
8.925033636075461e-07	-1.007601e+00
9.159408636075458e-07	-1.012082e+00
9.393783636075455e-07	-1.016921e+00
9.628158636075454e-07	-1.022067e+00
9.862533636075451e-07	-1.027459e+00
1.006761176107545e-06	-1.032322e+00
1.021409613607545e-06	-1.035851e+00
1.056565863607544e-06	-1.044379e+00
1.085862738607544e-06	-1.051398e+00
1.115159613607544e-06	-1.058173e+00
1.144456488607543e-06	-1.064564e+00
1.170823676107543e-06	-1.069883e+00
1.197190863607543e-06	-1.074710e+00
1.223558051107542e-06	-1.078984e+00
1.249925238607542e-06	-1.082657e+00
1.276292426107542e-06	-1.085700e+00
1.302659613607541e-06	-1.088099e+00
1.329026801107541e-06	-1.089855e+00
1.352464301107541e-06	-1.090889e+00
1.375901801107540e-06	-1.091448e+00
1.399339301107540e-06	-1.091558e+00
1.425706488607540e-06	-1.091185e+00
1.452073676107540e-06	-1.090335e+00
1.478440863607539e-06	-1.089066e+00
1.507737738607539e-06	-1.087236e+00
1.539964301107539e-06	-1.084808e+00
1.575120551107538e-06	-1.081786e+00
1.619065863607538e-06	-1.077654e+00
1.674729926107537e-06	-1.072188e+00
1.750901801107536e-06	-1.064894e+00
1.803636176107535e-06	-1.060273e+00
1.847581488607535e-06	-1.056793e+00
1.888597113607534e-06	-1.053882e+00
1.926683051107534e-06	-1.051475e+00
1.961839301107534e-06	-1.049502e+00
1.994065863607533e-06	-1.047895e+00
2.026292426107533e-06	-1.046470e+00
2.055589301107532e-06	-1.045322e+00
2.084886176107532e-06	-1.044304e+00
2.111253363607532e-06	-1.043492e+00
2.137620551107531e-06	-1.042770e+00
2.163987738607531e-06	-1.042132e+00
2.190354926107531e-06	-1.041570e+00
2.213792426107531e-06	-1.041129e+00
2.237229926107530e-06	-1.040739e+00
2.260667426107530e-06	-1.040396e+00
2.284104926107530e-06	-1.040095e+00
2.307542426107529e-06	-1.039833e+00
2.328050238607529e-06	-1.039633e+00
2.348558051107529e-06	-1.039458e+00
2.369065863607529e-06	-1.039305e+00
2.389573676107528e-06	-1.039173e+00
2.410081488607528e-06	-1.039060e+00
2.430589301107528e-06	-1.038963e+00
2.451097113607528e-06	-1.038882e+00
2.471604926107528e-06	-1.038815e+00
2.495042426107527e-06	-1.038753e+00
2.521409613607527e-06	-1.038699e+00
2.550706488607527e-06	-1.038658e+00
2.582933051107526e-06	-1.038629e+00
2.621018988607526e-06	-1.038614e+00
2.667893988607525e-06	-1.038615e+00
2.732347113607524e-06	-1.038638e+00
2.916917426107522e-06	-1.038737e+00
2.998948676107521e-06	-1.038769e+00
3.000000000000000e-06	-1.038769e+00
Step Information: C6_value=20f  (Step: 2/200)
0.000000000000000e+00	-1.038822e+00
2.929687403590252e-14	-1.038823e+00
5.859374807180504e-14	-1.038823e+00
1.171874961436101e-13	-1.038823e+00
2.343749922872201e-13	-1.038822e+00
4.687499845744403e-13	-1.038822e+00
9.374999691488806e-13	-1.038822e+00
1.874999938297761e-12	-1.038822e+00
3.749999876595522e-12	-1.038822e+00
7.499999753191045e-12	-1.038822e+00
1.499999950638209e-11	-1.038822e+00
2.999999901276418e-11	-1.038822e+00
5.999999802552836e-11	-1.038822e+00
1.199999960510567e-10	-1.038822e+00
2.399999921021134e-10	-1.038822e+00
4.799999842042268e-10	-1.038822e+00
5.464453761090932e-10	-1.038822e+00
6.793361599188258e-10	-1.038822e+00
7.342184323805348e-10	-1.038822e+00
8.439829773039529e-10	-1.038822e+00
1.000000000000000e-09	-1.038822e+00
1.015601702269605e-09	-1.038822e+00
1.046805106808814e-09	-1.038822e+00
1.109211915887233e-09	-1.038822e+00
1.234025534044071e-09	-1.038822e+00
1.473242538759562e-09	-1.038822e+00
1.854446711667104e-09	-1.038822e+00
2.616855057482190e-09	-1.038822e+00
3.602943237148081e-09	-1.038822e+00
5.575119596479864e-09	-1.038822e+00
7.556130148924196e-09	-1.038822e+00
9.805616901941443e-09	-1.038822e+00
1.226251286937967e-08	-1.038822e+00
1.453115222667664e-08	-1.038822e+00
1.702970505365604e-08	-1.038822e+00
1.995939255365604e-08	-1.038823e+00
2.288908005365604e-08	-1.038823e+00
2.489930835855957e-08	-1.038823e+00
2.641428520352349e-08	-1.038822e+00
2.785605797245908e-08	-1.038822e+00
2.969836385805152e-08	-1.038822e+00
3.140926161410050e-08	-1.038822e+00
3.357190254769688e-08	-1.038822e+00
3.577031125503889e-08	-1.038822e+00
3.844603409881335e-08	-1.038822e+00
4.130016591113307e-08	-1.038821e+00
4.422985341113307e-08	-1.038819e+00
4.715954091113307e-08	-1.038817e+00
5.008922841113307e-08	-1.038813e+00
5.301891591113307e-08	-1.038807e+00
5.594860341113307e-08	-1.038799e+00
5.887829091113306e-08	-1.038788e+00
6.180797841113307e-08	-1.038773e+00
6.473766591113307e-08	-1.038753e+00
6.766735341113308e-08	-1.038728e+00
7.059704091113309e-08	-1.038698e+00
7.352672841113309e-08	-1.038660e+00
7.645641591113310e-08	-1.038615e+00
7.938610341113310e-08	-1.038561e+00
8.231579091113311e-08	-1.038498e+00
8.524547841113311e-08	-1.038425e+00
8.817516591113312e-08	-1.038340e+00
9.110485341113312e-08	-1.038244e+00
9.403454091113313e-08	-1.038135e+00
9.696422841113313e-08	-1.038012e+00
9.989391591113314e-08	-1.037874e+00
