time	V(out)
Step Information: C6_value=100f  (Step: 1/10)
3.963453587999288e-08	-1.038818e+00
4.063453587999289e-08	-1.038817e+00
4.163453587999289e-08	-1.038815e+00
4.263453587999289e-08	-1.038813e+00
4.363453587999289e-08	-1.038811e+00
4.463453587999289e-08	-1.038808e+00
4.563453587999290e-08	-1.038804e+00
4.663453587999290e-08	-1.038800e+00
4.763453587999290e-08	-1.038795e+00
4.863453587999290e-08	-1.038789e+00
4.963453587999291e-08	-1.038782e+00
5.063453587999291e-08	-1.038775e+00
5.163453587999291e-08	-1.038766e+00
5.263453587999291e-08	-1.038756e+00
5.363453587999292e-08	-1.038744e+00
5.463453587999292e-08	-1.038731e+00
5.563453587999292e-08	-1.038717e+00
5.663453587999292e-08	-1.038700e+00
5.763453587999293e-08	-1.038682e+00
5.863453587999293e-08	-1.038662e+00
5.963453587999293e-08	-1.038640e+00
6.063453587999293e-08	-1.038615e+00
6.263453587999292e-08	-1.038558e+00
6.463453587999291e-08	-1.038491e+00
6.663453587999290e-08	-1.038412e+00
6.863453587999289e-08	-1.038319e+00
7.063453587999288e-08	-1.038212e+00
7.263453587999287e-08	-1.038089e+00
7.463453587999287e-08	-1.037948e+00
7.663453587999286e-08	-1.037789e+00
7.863453587999285e-08	-1.037610e+00
8.063453587999284e-08	-1.037410e+00
8.263453587999283e-08	-1.037187e+00
8.463453587999282e-08	-1.036940e+00
8.663453587999281e-08	-1.036667e+00
8.863453587999281e-08	-1.036368e+00
8.963453587999280e-08	-1.036208e+00
9.063453587999280e-08	-1.036040e+00
9.263453587999279e-08	-1.035683e+00
9.463453587999278e-08	-1.035295e+00
9.663453587999277e-08	-1.034874e+00
9.863453587999276e-08	-1.034420e+00
1.006345358799928e-07	-1.033931e+00
1.036345358799927e-07	-1.033130e+00
1.066345358799927e-07	-1.032244e+00
1.096345358799927e-07	-1.031269e+00
1.126345358799927e-07	-1.030201e+00
1.156345358799927e-07	-1.029037e+00
1.196345358799927e-07	-1.027330e+00
1.236345358799927e-07	-1.025439e+00
1.276345358799926e-07	-1.023358e+00
1.326345358799926e-07	-1.020480e+00
1.376345358799926e-07	-1.017286e+00
1.436345358799926e-07	-1.013025e+00
1.496345358799925e-07	-1.008290e+00
1.566345358799925e-07	-1.002158e+00
1.636345358799925e-07	-9.953697e-01
1.716345358799925e-07	-9.868153e-01
1.806345358799924e-07	-9.761981e-01
1.916345358799924e-07	-9.618524e-01
2.026345358799923e-07	-9.461008e-01
2.136345358799923e-07	-9.290763e-01
2.246345358799922e-07	-9.109343e-01
2.356345358799922e-07	-8.918474e-01
